text,label
Enfalac and Dog Food Did Enfalac and dog food cause a ba...,0
AIDS Created by the CIA? Was AIDS created by the CIA?,0
"Shrimp, Vitamin C and Arsenic Will Vitamin C users who e...",0
Drug Tests for Welfare Recipients Various states require...,0
...,0
Euthanasia Counseling The health care bill currently bef...,0
Did the DOJ Admit the Flu Shot Is the “Most Dangerous” Vaccine in America?,0
Drinking Bleach Prevents HIV/AIDS Will drinking bleach p...,0
Dawn and Eyes Does Dawn dishwashing liquid erode the cor...,0
Does Suave Shampoo Contain an Ingredient That Causes Hair Loss?,1
Chinese Astrology and Flu Outbreaks Do influenza outbrea...,0
...,0
Are All Homeopathic Drugs Now Illegal? The Food and Drug...,0
Measles Parties Rumor: The California Department of Publ...,0
Is Splenda Inadequately Tested and Unsafe? Claims that t...,0
"Spin-Fluenza No, the CDC did not issue a warning advisin...",0
Does a One-Question Test Reveal Psychopaths? A simple si...,0
Will Holding a Smartphone Cause a Finger Deformity? Rumo...,0
Nepalese Baby Fauxtography: Photographs purportedly show...,1
Should You Treat Burns with Flour? Rumor: The applicatio...,0
CDC Issues Flu Vaccine Apology Did the CDC issue an apol...,0
Obamacare Architect Jonathan Gruber Hails American ‘Stupidity’,1
In 2003 Were the Only Reported Measles Deaths Caused by the Vaccine?,0
Sanitary Pad Warning Did wearing certain types of sanita...,0
Measles Outbreak Patient Zero Rumor: Patient zero for th...,0
Stanford University Has Discovered an Alzheimer’s Cure? ...,0
Should Patients Request Thyroid Guards During X-Rays to Prevent Thyroid Cancer?,0
Poison Pill Amendment Poison pill amendment inserted int...,0
Swine Flu Warning Has the CDC warned that the swine flu ...,0
Dr. Vinay Goyal – Good Advice for Preventing Swine Flu L...,0
"Do Lemons Cure Cancer? Claims that lemons ""kill cancer c...",0
Mayo Clinic Warns of Swine Flu Pandemic Article reveals ...,0
New Orleans Swine Flu Cases News about swine flu cases i...,0
Resolve Death Did a 2-year-old boy die after ingesting R...,0
Mountain Dew Shrinks Testicles Does drinking Mountain De...,0
